id_cliente,recencia_dias,frecuencia_compras,monetario_total,total_articulos,fecha_alta,nombre_cliente,email,ciudad,antiguedad_dias,ticket_promedio,ha_comprado,churn,prob_churn,nivel_riesgo
61,29,2,67959,19,2023-03-02,Guadalupe Martinez,guadalupe.martinez@mail.com,Rio Cuarto,484,33979.5,1,0,0.185,Bajo
62,9,2,19107,9,2023-03-03,Guadalupe Romero,guadalupe.romero@mail.com,Carlos Paz,483,9553.5,1,0,0.35,Medio
64,24,2,40218,18,2023-03-05,Julian Alvarez,julian.alvarez@mail.com,Villa Maria,481,20109.0,1,0,0.295,Bajo
66,99,2,45616,17,2023-03-07,Tomas Herrera,tomas.herrera@mail.com,Villa Maria,479,22808.0,1,1,0.665,Medio
67,71,1,35240,13,2023-03-08,Ivana Romero,ivana.romero@mail.com,Alta Gracia,478,35240.0,1,0,0.235,Bajo
69,20,2,64300,17,2023-03-10,Felipe Flores,felipe.flores@mail.com,Rio Cuarto,476,32150.0,1,0,0.32,Medio
72,68,4,65001,24,2023-03-13,Camila Rodriguez,camila.rodriguez@mail.com,Cordoba,473,16250.25,1,0,0.085,Bajo
75,44,2,29909,14,2023-03-16,Santiago Castro,santiago.castro@mail.com,Rio Cuarto,470,14954.5,1,0,0.095,Bajo
78,43,1,23132,8,2023-03-19,Emilia Alvarez,emilia.alvarez@mail.com,Villa Maria,467,23132.0,1,0,0.29,Bajo
80,17,1,24708,8,2023-03-21,Gael Ruiz,gael.ruiz@mail.com,Mendiolaza,465,24708.0,1,0,0.185,Bajo
81,17,2,64502,28,2023-03-22,Camila Ruiz,camila.ruiz@mail.com,Carlos Paz,464,32251.0,1,0,0.13,Bajo
82,96,1,7710,3,2023-03-23,Lucas Lopez,lucas.lopez@mail.com,Alta Gracia,463,7710.0,1,1,1.0,Alto
83,126,1,16531,9,2023-03-24,Franco Gomez,franco.gomez@mail.com,Rio Cuarto,462,16531.0,1,1,0.93,Alto
84,140,2,67575,25,2023-03-25,Pablo Sanchez,pablo.sanchez@mail.com,Cordoba,461,33787.5,1,1,0.585,Medio
86,11,2,34326,14,2023-03-27,Diego Torres,diego.torres@mail.com,Cordoba,459,17163.0,1,0,0.15,Bajo
88,132,1,36639,13,2023-03-29,Felipe Castro,felipe.castro@mail.com,Villa Maria,457,36639.0,1,1,0.815,Alto
90,151,1,26593,10,2023-03-31,Guadalupe Ruiz,guadalupe.ruiz@mail.com,Rio Cuarto,455,26593.0,1,1,0.73,Alto
91,31,2,57386,21,2023-04-01,Uma Sanchez,uma.sanchez@mail.com,Mendiolaza,454,28693.0,1,0,0.135,Bajo
92,40,2,48867,12,2023-04-02,Mariana Rodriguez,mariana.rodriguez@mail.com,Alta Gracia,453,24433.5,1,0,0.2,Bajo
93,117,1,35760,12,2023-04-03,Gael Rojas,gael.rojas@mail.com,Alta Gracia,452,35760.0,1,1,0.815,Alto
96,0,1,28175,14,2023-04-06,Rocio Gonzalez,rocio.gonzalez@mail.com,Cordoba,449,28175.0,1,0,0.195,Bajo
98,112,1,10864,5,2023-04-08,Camila Castro,camila.castro@mail.com,Cordoba,447,10864.0,1,1,0.92,Alto
100,58,3,29883,15,2023-04-10,Agustina Lopez,agustina.lopez@mail.com,Cordoba,445,9961.0,1,0,0.17,Bajo
4,541,0,0,0,2023-01-04,Uma Martinez,uma.martinez@mail.com,Carlos Paz,541,0.0,0,1,0.98,Alto
7,538,0,0,0,2023-01-07,Emilia Castro,emilia.castro@mail.com,Rio Cuarto,538,0.0,0,1,0.99,Alto
11,534,0,0,0,2023-01-11,Helena Sanchez,helena.sanchez@mail.com,Villa Maria,534,0.0,0,1,0.96,Alto
22,523,0,0,0,2023-01-22,Franco Rodriguez,franco.rodriguez@mail.com,Alta Gracia,523,0.0,0,1,1.0,Alto
24,521,0,0,0,2023-01-24,Nicolas Silva,nicolas.silva@mail.com,Villa Maria,521,0.0,0,1,1.0,Alto
32,513,0,0,0,2023-02-01,Martina Alvarez,martina.alvarez@mail.com,Mendiolaza,513,0.0,0,1,1.0,Alto
33,512,0,0,0,2023-02-02,Franco Acosta,franco.acosta@mail.com,Rio Cuarto,512,0.0,0,1,1.0,Alto
35,510,0,0,0,2023-02-04,Yamila Lopez,yamila.lopez@mail.com,Mendiolaza,510,0.0,0,1,1.0,Alto
38,507,0,0,0,2023-02-07,Franco Herrera,franco.herrera@mail.com,Alta Gracia,507,0.0,0,1,1.0,Alto
44,501,0,0,0,2023-02-13,Camila Romero,camila.romero@mail.com,Carlos Paz,501,0.0,0,1,1.0,Alto
45,500,0,0,0,2023-02-14,Olivia Castro,olivia.castro@mail.com,Rio Cuarto,500,0.0,0,1,1.0,Alto
47,498,0,0,0,2023-02-16,Franco Silva,franco.silva@mail.com,Alta Gracia,498,0.0,0,1,1.0,Alto
50,495,0,0,0,2023-02-19,Lucas Diaz,lucas.diaz@mail.com,Carlos Paz,495,0.0,0,1,1.0,Alto
53,492,0,0,0,2023-02-22,Emilia Rojas,emilia.rojas@mail.com,Mendiolaza,492,0.0,0,1,1.0,Alto
59,486,0,0,0,2023-02-28,Emilia Ruiz,emilia.ruiz@mail.com,Villa Maria,486,0.0,0,1,1.0,Alto
60,485,0,0,0,2023-03-01,Uma Gonzalez,uma.gonzalez@mail.com,Alta Gracia,485,0.0,0,1,1.0,Alto
63,482,0,0,0,2023-03-04,Pablo Medina,pablo.medina@mail.com,Cordoba,482,0.0,0,1,1.0,Alto
65,480,0,0,0,2023-03-06,Tomas Perez,tomas.perez@mail.com,Alta Gracia,480,0.0,0,1,1.0,Alto
68,477,0,0,0,2023-03-09,Uma Torres,uma.torres@mail.com,Villa Maria,477,0.0,0,1,1.0,Alto
70,475,0,0,0,2023-03-11,Julian Diaz,julian.diaz@mail.com,Carlos Paz,475,0.0,0,1,1.0,Alto
71,474,0,0,0,2023-03-12,Valentina Alvarez,valentina.alvarez@mail.com,Villa Maria,474,0.0,0,1,1.0,Alto
73,472,0,0,0,2023-03-14,Yamila Diaz,yamila.diaz@mail.com,Alta Gracia,472,0.0,0,1,1.0,Alto
74,471,0,0,0,2023-03-15,Zoe Flores,zoe.flores@mail.com,Carlos Paz,471,0.0,0,1,1.0,Alto
76,469,0,0,0,2023-03-17,Pablo Perez,pablo.perez@mail.com,Mendiolaza,469,0.0,0,1,1.0,Alto
77,468,0,0,0,2023-03-18,Bruno Alvarez,bruno.alvarez@mail.com,Villa Maria,468,0.0,0,1,1.0,Alto
79,466,0,0,0,2023-03-20,Olivia Perez,olivia.perez@mail.com,Carlos Paz,466,0.0,0,1,1.0,Alto
85,460,0,0,0,2023-03-26,Agustina Martinez,agustina.martinez2@mail.com,Mendiolaza,460,0.0,0,1,1.0,Alto
87,458,0,0,0,2023-03-28,Bautista Lopez,bautista.lopez@mail.com,Alta Gracia,458,0.0,0,1,1.0,Alto
89,456,0,0,0,2023-03-30,Karina Martinez,karina.martinez@mail.com,Rio Cuarto,456,0.0,0,1,1.0,Alto
94,451,0,0,0,2023-04-04,Elena Sanchez,elena.sanchez@mail.com,Mendiolaza,451,0.0,0,1,1.0,Alto
95,450,0,0,0,2023-04-05,Olivia Perez,olivia.perez2@mail.com,Rio Cuarto,450,0.0,0,1,1.0,Alto
97,448,0,0,0,2023-04-07,Uma Alvarez,uma.alvarez@mail.com,Cordoba,448,0.0,0,1,1.0,Alto
99,446,0,0,0,2023-04-09,Bruno Molina,bruno.molina@mail.com,Villa Maria,446,0.0,0,1,0.995,Alto
